2018-04-16 16:05:07 PM com.android.providers.downloads [Thread:15041] receive an intent from server, action=com.xiaomi.mipush.RECEIVE_MESSAGE 
2018-04-16 16:05:07 PM com.android.providers.downloads [Thread:15041] processing a message, action=Command 
2018-04-16 19:22:11 PM com.android.providers.downloads [Thread:15800] receive an intent from server, action=com.xiaomi.mipush.RECEIVE_MESSAGE 
2018-04-16 19:22:11 PM com.android.providers.downloads [Thread:15800] processing a message, action=Command 
2018-04-16 23:18:22 下午 com.android.providers.downloads [Thread:16641] receive an intent from server, action=com.xiaomi.mipush.RECEIVE_MESSAGE 
2018-04-16 23:18:22 下午 com.android.providers.downloads [Thread:16641] processing a message, action=Command 
2018-04-17 06:37:28 AM com.android.providers.downloads [Thread:798] receive an intent from server, action=com.xiaomi.mipush.RECEIVE_MESSAGE 
2018-04-17 06:37:28 AM com.android.providers.downloads [Thread:798] processing a message, action=Command 
2018-04-17 07:57:37 AM com.android.providers.downloads [Thread:1082] receive an intent from server, action=com.xiaomi.mipush.RECEIVE_MESSAGE 
2018-04-17 07:57:37 AM com.android.providers.downloads [Thread:1082] processing a message, action=Command 
2018-04-17 10:11:53 AM com.android.providers.downloads [Thread:1433] receive an intent from server, action=com.xiaomi.mipush.RECEIVE_MESSAGE 
2018-04-17 10:11:53 AM com.android.providers.downloads [Thread:1433] processing a message, action=Command 
2018-04-17 12:38:17 PM com.android.providers.downloads [Thread:1818] receive an intent from server, action=com.xiaomi.mipush.RECEIVE_MESSAGE 
2018-04-17 12:38:17 PM com.android.providers.downloads [Thread:1818] processing a message, action=Command 
2018-04-17 14:40:43 PM com.android.providers.downloads [Thread:2026] receive an intent from server, action=com.xiaomi.mipush.RECEIVE_MESSAGE 
2018-04-17 14:40:43 PM com.android.providers.downloads [Thread:2026] processing a message, action=Command 
2018-04-17 19:13:41 PM com.android.providers.downloads [Thread:2222] receive an intent from server, action=com.xiaomi.mipush.RECEIVE_MESSAGE 
2018-04-17 19:13:41 PM com.android.providers.downloads [Thread:2222] processing a message, action=Command 
2018-04-17 23:49:24 下午 com.android.providers.downloads [Thread:2763] receive an intent from server, action=com.xiaomi.mipush.RECEIVE_MESSAGE 
2018-04-17 23:49:24 下午 com.android.providers.downloads [Thread:2763] processing a message, action=Command 
2018-04-18 07:23:53 上午 com.android.providers.downloads [Thread:2968] receive an intent from server, action=com.xiaomi.mipush.RECEIVE_MESSAGE 
2018-04-18 07:23:53 上午 com.android.providers.downloads [Thread:2968] processing a message, action=Command 
2018-04-18 08:52:49 上午 com.android.providers.downloads [Thread:3218] receive an intent from server, action=com.xiaomi.mipush.RECEIVE_MESSAGE 
2018-04-18 08:52:49 上午 com.android.providers.downloads [Thread:3218] processing a message, action=Command 
2018-04-18 12:58:28 下午 com.android.providers.downloads [Thread:4084] receive an intent from server, action=com.xiaomi.mipush.RECEIVE_MESSAGE 
2018-04-18 12:58:28 下午 com.android.providers.downloads [Thread:4084] processing a message, action=Command 
2018-04-18 18:36:58 下午 com.android.providers.downloads [Thread:4590] receive an intent from server, action=com.xiaomi.mipush.RECEIVE_MESSAGE 
2018-04-18 18:36:58 下午 com.android.providers.downloads [Thread:4590] processing a message, action=Command 
2018-04-18 20:18:57 下午 com.android.providers.downloads [Thread:4714] receive an intent from server, action=com.xiaomi.mipush.RECEIVE_MESSAGE 
2018-04-18 20:18:57 下午 com.android.providers.downloads [Thread:4714] processing a message, action=Command 
2018-04-19 09:13:01 上午 com.android.providers.downloads [Thread:5599] receive an intent from server, action=com.xiaomi.mipush.RECEIVE_MESSAGE 
2018-04-19 09:13:01 上午 com.android.providers.downloads [Thread:5599] processing a message, action=Command 
2018-04-19 11:51:22 上午 com.android.providers.downloads [Thread:6087] receive an intent from server, action=com.xiaomi.mipush.RECEIVE_MESSAGE 
2018-04-19 11:51:22 上午 com.android.providers.downloads [Thread:6087] processing a message, action=Command 
2018-04-19 15:01:17 下午 com.android.providers.downloads [Thread:6587] receive an intent from server, action=com.xiaomi.mipush.RECEIVE_MESSAGE 
2018-04-19 15:01:17 下午 com.android.providers.downloads [Thread:6587] processing a message, action=Command 
2018-04-19 17:32:34 下午 com.android.providers.downloads [Thread:6957] receive an intent from server, action=com.xiaomi.mipush.RECEIVE_MESSAGE 
2018-04-19 17:32:34 下午 com.android.providers.downloads [Thread:6957] processing a message, action=Command 
2018-04-19 21:11:09 下午 com.android.providers.downloads [Thread:7494] receive an intent from server, action=com.xiaomi.mipush.RECEIVE_MESSAGE 
2018-04-19 21:11:09 下午 com.android.providers.downloads [Thread:7494] processing a message, action=Command 
2018-04-19 22:15:30 下午 com.android.providers.downloads [Thread:7730] receive an intent from server, action=com.xiaomi.mipush.RECEIVE_MESSAGE 
2018-04-19 22:15:30 下午 com.android.providers.downloads [Thread:7730] processing a message, action=Command 
2018-04-20 07:27:13 上午 com.android.providers.downloads [Thread:8046] receive an intent from server, action=com.xiaomi.mipush.RECEIVE_MESSAGE 
2018-04-20 07:27:13 上午 com.android.providers.downloads [Thread:8046] processing a message, action=Command 
2018-04-20 11:35:37 上午 com.android.providers.downloads [Thread:8923] receive an intent from server, action=com.xiaomi.mipush.RECEIVE_MESSAGE 
2018-04-20 11:35:37 上午 com.android.providers.downloads [Thread:8923] processing a message, action=Command 
2018-04-20 12:37:24 下午 com.android.providers.downloads [Thread:9218] receive an intent from server, action=com.xiaomi.mipush.RECEIVE_MESSAGE 
2018-04-20 12:37:24 下午 com.android.providers.downloads [Thread:9218] processing a message, action=Command 
2018-04-20 14:51:56 下午 com.android.providers.downloads [Thread:9634] receive an intent from server, action=com.xiaomi.mipush.RECEIVE_MESSAGE 
2018-04-20 14:51:56 下午 com.android.providers.downloads [Thread:9634] processing a message, action=Command 
2018-04-20 16:05:42 下午 com.android.providers.downloads [Thread:9906] receive an intent from server, action=com.xiaomi.mipush.RECEIVE_MESSAGE 
2018-04-20 16:05:42 下午 com.android.providers.downloads [Thread:9906] processing a message, action=Command 
2018-04-20 18:11:23 下午 com.android.providers.downloads [Thread:10359] receive an intent from server, action=com.xiaomi.mipush.RECEIVE_MESSAGE 
2018-04-20 18:11:23 下午 com.android.providers.downloads [Thread:10359] processing a message, action=Command 
2018-04-20 21:30:34 下午 com.android.providers.downloads [Thread:10668] receive an intent from server, action=com.xiaomi.mipush.RECEIVE_MESSAGE 
2018-04-20 21:30:34 下午 com.android.providers.downloads [Thread:10668] processing a message, action=Command 
2018-04-20 23:59:52 下午 com.android.providers.downloads [Thread:11107] receive an intent from server, action=com.xiaomi.mipush.RECEIVE_MESSAGE 
2018-04-20 23:59:52 下午 com.android.providers.downloads [Thread:11107] processing a message, action=Command 
2018-04-21 07:36:53 上午 com.android.providers.downloads [Thread:11550] receive an intent from server, action=com.xiaomi.mipush.RECEIVE_MESSAGE 
2018-04-21 07:36:53 上午 com.android.providers.downloads [Thread:11550] processing a message, action=Command 
2018-04-21 10:03:18 上午 com.android.providers.downloads [Thread:58] receive an intent from server, action=com.xiaomi.mipush.RECEIVE_MESSAGE 
2018-04-21 10:03:18 上午 com.android.providers.downloads [Thread:58] processing a message, action=Command 
2018-04-21 11:54:56 上午 com.android.providers.downloads [Thread:823] receive an intent from server, action=com.xiaomi.mipush.RECEIVE_MESSAGE 
2018-04-21 11:54:56 上午 com.android.providers.downloads [Thread:823] processing a message, action=Command 
